Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
4/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
4/2/2020,0,132,0,16,0,18,9,0,0,5,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,7,0
4/3/2020,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,128,295,0,0,0,0,0,0,0,0,20,0,0,0,0,411,0,0,0,0,0
4/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5/2020,0,0,0,0,32,0,0,0,0,0,0,0,0,106,0,0,314,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0
4/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,868,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4/7/2020,0,0,0,0,0,0,0,0,576,0,0,141,0,0,0,175,336,0,0,290,1018,0,0,1,0,42,0,0,363,0,0,0,0,0,32,0
4/8/2020,0,0,0,0,38,18,0,0,0,0,186,153,0,0,0,181,354,0,0,341,0,0,0,1,0,42,0,106,363,0,690,0,0,0,0,0
4/9/2020,0,0,1,0,43,0,0,0,720,7,0,156,0,0,0,197,357,0,0,411,868,0,0,1,0,48,0,130,463,0,834,0,0,410,35,0
4/10/2020,0,365,0,29,60,19,18,0,903,7,378,162,30,207,14,207,364,0,0,451,1135,0,0,0,0,50,0,151,561,0,911,0,0,433,35,0
4/11/2020,0,381,0,29,61,19,18,0,1069,0,468,165,30,224,17,215,373,0,0,529,1761,0,0,0,0,51,0,158,678,0,969,0,2,452,35,126
4/12/2020,0,405,0,29,64,21,31,0,1154,7,516,181,32,245,17,232,375,0,0,562,1761,0,0,1,0,54,0,170,796,0,1075,0,0,483,35,134
4/13/2020,0,432,0,0,65,21,31,0,1510,7,572,182,32,270,19,247,378,17,0,614,1996,0,0,1,0,54,0,176,847,0,1173,0,0,558,35,152
4/14/2020,0,473,1,31,62,21,33,0,1561,7,617,184,32,278,27,260,386,17,0,741,2340,2,0,1,0,56,0,184,1005,0,1204,0,0,660,35,190
4/15/2020,0,525,0,32,66,21,33,0,1578,7,766,190,35,300,0,279,387,18,0,938,2690,0,0,1,0,60,0,186,1076,0,1242,0,2,727,37,213
4/16/2020,0,534,0,34,72,21,33,0,1640,7,929,214,35,314,0,315,394,18,0,1164,2916,0,7,1,0,60,0,197,1101,0,1267,0,2,805,37,231
4/17/2020,12,572,1,34,83,21,36,0,1707,7,1099,223,36,328,32,359,395,0,0,1310,3204,2,9,0,0,60,0,211,1229,0,1323,0,0,849,40,255
4/18/2020,0,603,1,34,85,23,36,0,1893,7,1376,232,39,341,33,384,399,0,0,1402,3323,0,11,1,0,60,7,234,1282,0,1372,0,0,974,42,287
4/19/2020,0,647,0,34,92,26,36,0,2003,7,1743,250,39,350,38,390,401,18,0,1407,3651,0,11,1,0,61,7,244,1478,0,1477,858,0,1100,44,310
